Actual Pressure Strain,Predicted Pressure Strain
2.4236287542668e-05,3.807246533853462e-05
1.1503166746519e-05,3.807246533853462e-05
0.0,-7.124739446384695e-05
0.003103570699720186,0.003125253702978041
6.419556144688e-06,3.807246533853462e-05
0.0,-7.016109896327053e-06
0.0,3.6935114311347676e-07
3.5698757672379e-05,3.872164977804485e-05
0.000241992095289744,4.390491481999646e-05
0.000388400856543057,0.0003947051832096696
7.237074875392e-05,3.872164977804485e-05
3.653526076518e-05,3.807246533853462e-05
7.5791805079586e-05,4.390491481999646e-05
0.009524602580983903,0.00931790471116233
0.0,0.00011690553356810519
0.0,3.807246533853462e-05
0.000152607500040907,3.872164977804485e-05
0.0,3.807246533853462e-05
0.0001091048326414,3.872164977804485e-05
0.007305137887709147,0.007251872670005386
0.04503299782668205,0.04581500904634511
0.03582591886421497,0.036843418794272546
9.759519333264e-06,3.807246533853462e-05
0.03314733697042081,0.04307656220892734
0.00915761129665892,0.00902991934484574
0.0,3.807246533853462e-05
-0.03523766515940182,-0.03590621949779793
0.02905600684110447,0.029090527326429985
1.2612938110039e-05,3.807246533853462e-05
7.585514353262e-05,3.807246533853462e-05
6.5707491702496e-05,3.872164977804485e-05
-0.001450460877019008,-0.0014678772977105787
0.000747902330365169,0.0005540027756145891
0.001207893357053362,0.0011509235703439237
0.000359940694030168,4.938193525673862e-05
2.8913427436584e-05,3.807246533853462e-05
5.382113084522e-05,3.872164977804485e-05
6.784959779957e-06,0.00011722809135416883
0.04024702351738949,0.039181012656800386
0.0,3.807246533853462e-05
4.4452459891466e-05,3.872164977804485e-05
7.4954127515154e-05,3.872164977804485e-05
1.6848537700053e-05,3.807246533853462e-05
0.000201456565388299,3.872164977804485e-05
0.0,3.807246533853462e-05
-0.06295672916877734,-0.0640497037663272
0.000766896087348811,0.0007691025621566894
0.0,-3.109790961058778e-05
6.283843438064e-06,3.807246533853462e-05
7.027762968313e-06,3.807246533853462e-05
